Country,population,net_migration,mg_per_1000
Afghanistan,42239854.0,-65846.0,-1.5588595547702413
Albania,2745972.0,-8000.0,-2.9133581842786453
Algeria,45606480.0,-9999.0,-0.21924515989833024
American Samoa,43914.0,-790.0,-17.989707154893654
Andorra,80088.0,200.0,2.497253021676156
Angola,36684202.0,-1000.0,-0.027259690697374307
Antigua and Barbuda,94298.0,0.0,0.0
Argentina,46654581.0,3718.0,0.07969206710912269
Armenia,2777970.0,-5000.0,-1.7998754486189557
Aruba,106277.0,157.0,1.4772716580257252
Australia,26638544.0,139991.0,5.255204638812091
Austria,9132383.0,19999.0,2.18989939427639
Azerbaijan,10112555.0,0.0,0.0
"Bahamas, The",412623.0,1000.0,2.4235197747096016
Bahrain,1485509.0,0.0,0.0
Bangladesh,172954319.0,-309977.0,-1.7922478131349817
Barbados,281995.0,-80.0,-0.2836929732796681
Belarus,9178298.0,-4282.0,-0.4665352988103023
Belgium,11822592.0,23999.0,2.029927109046815
Belize,410825.0,600.0,1.460475871721536
Benin,13712828.0,-200.0,-0.014584883584917713
Bermuda,63489.0,0.0,0.0
Bhutan,787424.0,300.0,0.3809891494290243
Bolivia,12388571.0,-3000.0,-0.24215867996397647
Bosnia and Herzegovina,3210847.0,-500.0,-0.1557221505727305
Botswana,2675352.0,3000.0,1.1213477703120935
Brazil,216422446.0,6000.0,0.02772355691793632
British Virgin Islands,31538.0,200.0,6.341556217895872
Brunei Darussalam,452524.0,0.0,0.0
Bulgaria,6430370.0,-4800.0,-0.7464578243553637
Burkina Faso,23251485.0,-24998.0,-1.0751141271191926
Burundi,13238559.0,2000.0,0.1510738442152201
Cabo Verde,598682.0,-1227.0,-2.0495020728867748
Cambodia,16944826.0,-29998.0,-1.770333906054863
Cameroon,28647293.0,-4800.0,-0.16755509848696698
Canada,40097761.0,249746.0,6.228427567314793
Cayman Islands,69310.0,400.0,5.771172990910403
Central African Republic,5742315.0,-14716.0,-2.5627294915029912
Chad,18278568.0,-2000.0,-0.10941776182904481
Channel Islands,175346.0,900.0,5.132709043833335
Chile,19629590.0,-71205.0,-3.6274318516077004
China,1410710000.0,-310220.0,-0.21990345287124924
Colombia,52085168.0,-175051.0,-3.360860811661393
Comoros,852075.0,-2000.0,-2.34721121966963
D.R. Congo,102262808.0,-14999.0,-0.14667111429210902
"Congo, Rep.",6106869.0,-1000.0,-0.16375003295469412
Costa Rica,5212173.0,3750.0,0.7194695955026819
Cote d'Ivoire,28873034.0,6000.0,0.20780635661635005
Croatia,3853200.0,-2000.0,-0.5190491020450535
Cuba,11194449.0,-6000.0,-0.5359799307674723
Curacao,147862.0,515.0,3.482977370791684
Cyprus,1260138.0,5000.0,3.967819397558045
Czechia,10873689.0,22011.0,2.0242440261074233
Denmark,5946952.0,19999.0,3.362899179277048
Djibouti,1136455.0,900.0,0.7919363283192031
Dominica,73040.0,-40.0,-0.547645125958379
Dominican Republic,11332972.0,-29099.0,-2.5676406859559875
Ecuador,18190484.0,-21525.0,-1.1833110103062678
"Egypt, Arab Rep.",112716598.0,-29998.0,-0.266136492160631
El Salvador,6364943.0,-23249.0,-3.6526642893738406
Equatorial Guinea,1714671.0,4000.0,2.3328090345028287
Eritrea,3748901.0,-15297.0,-4.080395828003994
Estonia,1366188.0,-1000.0,-0.7319636828899098
Eswatini,1210822.0,-5268.0,-4.35076336571354
Ethiopia,126527060.0,-11999.0,-0.09483346882477156
Faroe Islands,53270.0,0.0,0.0
Fiji,936375.0,-3289.0,-3.512481644640235
Finland,5584264.0,13999.0,2.506865721248136
France,68170228.0,67761.0,0.9939969688820757
French Polynesia,308872.0,-100.0,-0.32375870910927507
Gabon,2436566.0,1000.0,0.41041367235691545
"Gambia, The",2773168.0,-3000.0,-1.0817952608713213
Georgia,3760365.0,-9999.0,-2.659050384736588
Germany,84482267.0,155751.0,1.84359399351819
Ghana,34121985.0,-9999.0,-0.2930368793023032
Gibraltar,32688.0,-24.0,-0.7342143906020558
Greece,10361295.0,5000.0,0.4825651619802351
Greenland,56865.0,-100.0,-1.7585509540138926
Grenada,126183.0,-200.0,-1.5849995641251198
Guam,172952.0,-500.0,-2.8909755307831073
Guatemala,17602431.0,-9110.0,-0.5175421508540496
Guinea,14190612.0,-4000.0,-0.2818764969403716
Guinea-Bissau,2150842.0,-1400.0,-0.650907877008167
Guyana,813834.0,-3900.0,-4.792132056414453
Haiti,11724763.0,-31811.0,-2.7131465258615464
Honduras,10593798.0,-5034.0,-0.4751836876632913
"Hong Kong SAR, China",7536100.0,19999.0,2.6537599023367524
Hungary,9589872.0,-156677.0,-16.33775716714467
Iceland,393600.0,380.0,0.9654471544715447
India,1428627663.0,-486136.0,-0.34028180511299533
Indonesia,277534122.0,-49997.0,-0.180147218077927
"Iran, Islamic Rep.",89172767.0,-39998.0,-0.44854501374842387
Iraq,45504560.0,-6000.0,-0.1318549173972894
Ireland,5262382.0,9999.0,1.9000901112842055
Israel,9756700.0,9999.0,1.024834216487132
Italy,58761146.0,58496.0,0.9954877326592644
Jamaica,2825544.0,-10999.0,-3.8927017239866024
Japan,124516650.0,99994.0,0.8030572618200056
Jordan,11337052.0,-157392.0,-13.88297416294818
Kazakhstan,19900177.0,0.0,0.0
Kenya,55100586.0,-10000.0,-0.18148627312239474
Kiribati,133515.0,-400.0,-2.995918061641014
"Korea, Dem. People's Rep.",26160821.0,-2000.0,-0.07645020009119745
"Korea, Rep.",51712619.0,29998.0,0.580090519105211
Kosovo,1756374.0,-5000.0,-2.8467740925338227
Kuwait,4310108.0,11999.0,2.7839209597532126
Kyrgyz Republic,7100800.0,-9999.0,-1.4081511942316358
Lao PDR,7633779.0,-9999.0,-1.3098361899132789
Latvia,1881750.0,-7630.0,-4.054736282715558
Lebanon,5353930.0,-177331.0,-33.12165082472128
Lesotho,2330318.0,-4000.0,-1.7165039277901128
Liberia,5418377.0,-5000.0,-0.9227855499903385
Libya,6888388.0,-2000.0,-0.29034369144130673
Liechtenstein,39584.0,150.0,3.7894098625707358
Lithuania,2871897.0,-13128.0,-4.571194579749901
Luxembourg,668606.0,4883.0,7.3032548316946
"Macao SAR, China",704149.0,5000.0,7.1007698654688145
